"objectid","crtr_yr","stdg_cd","stdg_nm","sgg_cd","sgg_nm","sigun_cd","sigun_nm","flod_dngr_idx","frst_rgtr_id","frst_reg_dt","mdfr_id","mdfcn_dt"
5274,"2016","41113138  ",장지동,"41113",수원시 권선구,"41110",수원시,0.1952045160,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5275,"2016","41830340  ",옥천면,"41830",양평군,"41830",양평군,0.6859682254,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5276,"2016","41610105  ",탄벌동,"41610",광주시,"41610",광주시,0.5513484677,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5277,"2016","41115123  ",남창동,"41115",수원시 팔달구,"41110",수원시,0.5453717107,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5278,"2016","41115124  ",영동,"41115",수원시 팔달구,"41110",수원시,0.8019786954,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5279,"2016","41115132  ",교동,"41115",수원시 팔달구,"41110",수원시,0.6592757235,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5280,"2016","41113130  ",평리동,"41113",수원시 권선구,"41110",수원시,0.2782567091,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5281,"2016","41113131  ",서둔동,"41113",수원시 권선구,"41110",수원시,0.5306917510,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5282,"2016","41113132  ",구운동,"41113",수원시 권선구,"41110",수원시,0.6600539476,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5283,"2016","41113133  ",탑동,"41113",수원시 권선구,"41110",수원시,0.5998461755,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5284,"2016","41113134  ",금곡동,"41113",수원시 권선구,"41110",수원시,0.4531805607,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5285,"2016","41113135  ",호매실동,"41113",수원시 권선구,"41110",수원시,0.4228425054,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5286,"2016","41113136  ",곡반정동,"41113",수원시 권선구,"41110",수원시,0.6171537308,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5287,"2016","41115125  ",중동,"41115",수원시 팔달구,"41110",수원시,0.7313014865,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5288,"2016","41113137  ",권선동,"41113",수원시 권선구,"41110",수원시,0.5976341216,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5289,"2016","41113139  ",대황교동,"41113",수원시 권선구,"41110",수원시,0.1951368650,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5290,"2016","41113140  ",입북동,"41113",수원시 권선구,"41110",수원시,0.4846471347,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5291,"2016","41113141  ",당수동,"41113",수원시 권선구,"41110",수원시,0.4355698136,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5292,"2016","41117105  ",영통동,"41117",수원시 영통구,"41110",수원시,0.5256745381,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5293,"2016","41115128  ",매향동,"41115",수원시 팔달구,"41110",수원시,0.6646162605,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5294,"2016","41115129  ",북수동,"41115",수원시 팔달구,"41110",수원시,0.8360274293,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5295,"2016","41117106  ",신동,"41117",수원시 영통구,"41110",수원시,0.6018289125,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5296,"2022","41115120  ",팔달로1가,"41115",수원시 팔달구,"41110",수원시,1.1832505862,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5297,"2016","41115133  ",매교동,"41115",수원시 팔달구,"41110",수원시,1.0042732320,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5298,"2016","41117107  ",망포동,"41117",수원시 영통구,"41110",수원시,0.5599537241,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5299,"2016","41115134  ",매산로1가,"41115",수원시 팔달구,"41110",수원시,0.6378524788,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5300,"2016","41220330  ",고덕면,"41220",평택시,"41220",평택시,0.3406823510,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5301,"2016","41115135  ",매산로2가,"41115",수원시 팔달구,"41110",수원시,0.9504370145,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5302,"2018","41115120  ",팔달로1가,"41115",수원시 팔달구,"41110",수원시,0.9122000337,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5303,"2016","41285103  ",정발산동,"41285",고양시 일산동구,"41280",고양시,1.0841355779,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5304,"2016","41115136  ",매산로3가,"41115",수원시 팔달구,"41110",수원시,0.7370637439,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5305,"2016","41115139  ",지동,"41115",수원시 팔달구,"41110",수원시,0.9712735098,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5306,"2016","41115137  ",고등동,"41115",수원시 팔달구,"41110",수원시,0.7264255243,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5307,"2016","41115138  ",화서동,"41115",수원시 팔달구,"41110",수원시,0.6527683286,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5308,"2016","41131103  ",수진동,"41131",성남시 수정구,"41130",성남시,0.8678044504,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5309,"2016","41115140  ",우만동,"41115",수원시 팔달구,"41110",수원시,0.6660367679,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5310,"2016","41115141  ",인계동,"41115",수원시 팔달구,"41110",수원시,0.6704680305,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5311,"2016","41117101  ",매탄동,"41117",수원시 영통구,"41110",수원시,0.5497914770,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5312,"2016","41117102  ",원천동,"41117",수원시 영통구,"41110",수원시,0.4087129718,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5313,"2016","41117103  ",이의동,"41117",수원시 영통구,"41110",수원시,0.2814835065,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5314,"2016","41131105  ",산성동,"41131",성남시 수정구,"41130",성남시,0.8830981079,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5315,"2016","41131104  ",단대동,"41131",성남시 수정구,"41130",성남시,0.7993472264,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5316,"2016","41196108  ",내동,"41196",부천시 오정구,"41190",부천시,0.5238888517,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5317,"2016","41210101  ",광명동,"41210",광명시,"41210",광명시,0.7927429143,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5318,"2016","41210102  ",철산동,"41210",광명시,"41210",광명시,0.7095053419,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5319,"2016","41117104  ",하동,"41117",수원시 영통구,"41110",수원시,0.2408079471,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5320,"2016","41131101  ",신흥동,"41131",성남시 수정구,"41130",성남시,0.8721183066,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5321,"2016","41131102  ",태평동,"41131",성남시 수정구,"41130",성남시,0.8678185834,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5322,"2016","41131106  ",양지동,"41131",성남시 수정구,"41130",성남시,0.6190780455,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5323,"2016","41550107  ",명륜동,"41550",안성시,"41550",안성시,0.3424663744,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5324,"2016","41131107  ",복정동,"41131",성남시 수정구,"41130",성남시,0.5477111512,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5325,"2016","41131108  ",창곡동,"41131",성남시 수정구,"41130",성남시,0.5265299341,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5326,"2016","41131109  ",신촌동,"41131",성남시 수정구,"41130",성남시,0.4971698925,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5327,"2016","41133132  ",중앙동,"41133",성남시 중원구,"41130",성남시,0.9743022992,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5328,"2016","41550110  ",창전동,"41550",안성시,"41550",안성시,1.0168900291,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5329,"2016","41131110  ",오야동,"41131",성남시 수정구,"41130",성남시,0.4459155113,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5330,"2016","41550112  ",신흥동,"41550",안성시,"41550",안성시,1.0193350017,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5331,"2016","41131111  ",심곡동,"41131",성남시 수정구,"41130",성남시,0.4122469173,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5332,"2016","41285111  ",설문동,"41285",고양시 일산동구,"41280",고양시,0.7742825803,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5333,"2016","41570104  ",장기동,"41570",김포시,"41570",김포시,0.7537423585,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5334,"2016","41570105  ",감정동,"41570",김포시,"41570",김포시,0.7019306372,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5335,"2016","41570106  ",사우동,"41570",김포시,"41570",김포시,0.7898607761,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5336,"2016","41131112  ",고등동,"41131",성남시 수정구,"41130",성남시,0.4218108099,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5337,"2016","41131113  ",상적동,"41131",성남시 수정구,"41130",성남시,0.4196700991,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5338,"2016","41590131  ",영천동,"41590",화성시,"41590",화성시,0.1091922062,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5339,"2016","41590132  ",중동,"41590",화성시,"41590",화성시,0.1164040214,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5340,"2016","41590133  ",신동,"41590",화성시,"41590",화성시,0.0639614623,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5341,"2016","41131114  ",둔전동,"41131",성남시 수정구,"41130",성남시,0.3240341714,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5342,"2018","41115121  ",팔달로2가,"41115",수원시 팔달구,"41110",수원시,0.9667736441,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5343,"2016","41131115  ",시흥동,"41131",성남시 수정구,"41130",성남시,0.4145717976,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5344,"2016","41194107  ",계수동,"41194",부천시 소사구,"41190",부천시,0.4029390780,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5345,"2016","41135102  ",수내동,"41135",성남시 분당구,"41130",성남시,0.4743192648,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5346,"2016","41135105  ",서현동,"41135",성남시 분당구,"41130",성남시,0.5331063488,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5347,"2016","41131116  ",금토동,"41131",성남시 수정구,"41130",성남시,0.3879976266,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5348,"2018","41550113  ",인지동,"41550",안성시,"41550",안성시,0.9097402573,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5349,"2016","41131117  ",사송동,"41131",성남시 수정구,"41130",성남시,0.4090338459,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5350,"2016","41135108  ",판교동,"41135",성남시 분당구,"41130",성남시,0.4798769989,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5351,"2016","41133101  ",성남동,"41133",성남시 중원구,"41130",성남시,0.6654532357,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5352,"2016","41133103  ",금광동,"41133",성남시 중원구,"41130",성남시,0.8963519158,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5353,"2016","41133104  ",은행동,"41133",성남시 중원구,"41130",성남시,0.6570831988,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5354,"2016","41192101  ",원미동,"41192",부천시 원미구,"41190",부천시,0.6621045995,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5355,"2016","41133105  ",상대원동,"41133",성남시 중원구,"41130",성남시,0.5571097671,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5356,"2016","41133106  ",여수동,"41133",성남시 중원구,"41130",성남시,0.4165715034,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5357,"2016","41133107  ",도촌동,"41133",성남시 중원구,"41130",성남시,0.3846732228,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5358,"2022","41115121  ",팔달로2가,"41115",수원시 팔달구,"41110",수원시,1.2538630068,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5359,"2016","41133108  ",갈현동,"41133",성남시 중원구,"41130",성남시,0.3686596025,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5360,"2016","41133109  ",하대원동,"41133",성남시 중원구,"41130",성남시,0.5196929226,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5361,"2022","41550113  ",인지동,"41550",안성시,"41550",안성시,0.9493092775,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5362,"2016","41135101  ",분당동,"41135",성남시 분당구,"41130",성남시,0.4066558184,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5363,"2016","41135103  ",정자동,"41135",성남시 분당구,"41130",성남시,0.4964052380,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5364,"2016","41135104  ",율동,"41135",성남시 분당구,"41130",성남시,0.2946699982,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5365,"2016","41135106  ",이매동,"41135",성남시 분당구,"41130",성남시,0.4959481891,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5366,"2016","41135107  ",야탑동,"41135",성남시 분당구,"41130",성남시,0.4653607337,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5367,"2016","41192103  ",춘의동,"41192",부천시 원미구,"41190",부천시,0.4425505510,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5368,"2016","41135109  ",삼평동,"41135",성남시 분당구,"41130",성남시,0.4314960550,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5369,"2016","41192102  ",심곡동,"41192",부천시 원미구,"41190",부천시,0.8416513377,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5370,"2016","41135110  ",백현동,"41135",성남시 분당구,"41130",성남시,0.4216100743,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5371,"2016","41135111  ",금곡동,"41135",성남시 분당구,"41130",성남시,0.3819413248,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5372,"2016","41196102  ",여월동,"41196",부천시 오정구,"41190",부천시,0.5188845557,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5373,"2016","41135112  ",궁내동,"41135",성남시 분당구,"41130",성남시,0.3564697331,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5374,"2016","41196103  ",작동,"41196",부천시 오정구,"41190",부천시,0.4980337751,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5375,"2016","41135113  ",동원동,"41135",성남시 분당구,"41130",성남시,0.3360049304,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5376,"2016","41135114  ",구미동,"41135",성남시 분당구,"41130",성남시,0.4010353113,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5377,"2016","41210105  ",노온사동,"41210",광명시,"41210",광명시,0.4638094216,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5378,"2016","41135115  ",운중동,"41135",성남시 분당구,"41130",성남시,0.4368894072,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5379,"2016","41135116  ",대장동,"41135",성남시 분당구,"41130",성남시,0.3385981328,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5380,"2016","41192104  ",도당동,"41192",부천시 원미구,"41190",부천시,0.5676776407,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5381,"2016","41135117  ",석운동,"41135",성남시 분당구,"41130",성남시,0.3856963659,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5382,"2016","41135118  ",하산운동,"41135",성남시 분당구,"41130",성남시,0.2729582826,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5383,"2016","41150101  ",의정부동,"41150",의정부시,"41150",의정부시,1.1918866653,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5384,"2016","41194102  ",심곡본동,"41194",부천시 소사구,"41190",부천시,0.6891574137,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5385,"2016","41194103  ",범박동,"41194",부천시 소사구,"41190",부천시,0.4687418731,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5386,"2016","41150102  ",호원동,"41150",의정부시,"41150",의정부시,0.9689391388,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5387,"2016","41150103  ",장암동,"41150",의정부시,"41150",의정부시,0.9346657824,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5388,"2016","41150104  ",신곡동,"41150",의정부시,"41150",의정부시,1.1516766337,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5389,"2016","41150105  ",용현동,"41150",의정부시,"41150",의정부시,1.0886032277,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5390,"2017","41285103  ",정발산동,"41285",고양시 일산동구,"41280",고양시,1.0338201464,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5391,"2016","41150106  ",민락동,"41150",의정부시,"41150",의정부시,1.0632933615,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5392,"2016","41150107  ",낙양동,"41150",의정부시,"41150",의정부시,1.0199521066,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5393,"2016","41150108  ",자일동,"41150",의정부시,"41150",의정부시,1.0087530482,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5394,"2016","41150109  ",금오동,"41150",의정부시,"41150",의정부시,1.0594440643,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5395,"2016","41150110  ",가능동,"41150",의정부시,"41150",의정부시,0.9944367211,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5396,"2016","41150111  ",녹양동,"41150",의정부시,"41150",의정부시,1.0062602839,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5397,"2016","41150112  ",고산동,"41150",의정부시,"41150",의정부시,1.0329115281,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5398,"2016","41150113  ",산곡동,"41150",의정부시,"41150",의정부시,0.9807028670,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5399,"2016","41171101  ",안양동,"41171",안양시 만안구,"41170",안양시,0.6881781345,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
5400,"2016","41171102  ",석수동,"41171",안양시 만안구,"41170",안양시,0.5962111240,system,2025-05-15 21:14:55.625,system,2025-05-15 21:14:55.625
