"objectid","sigun_nm","sigun_cd","crtr_yr","flod_dngr_idx","flod_dng_rnk","frst_rgtr_id","frst_reg_dt","mdfr_id","mdfcn_dt"
135,고양시,"41280","2020",0.5772832100,15,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
138,과천시,"41290","2020",0.4533858100,18,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
147,구리시,"41310","2020",0.3174107800,27,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
130,남양주시,"41360","2020",0.7612973300,10,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
145,오산시,"41370","2020",0.3406160900,25,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
146,시흥시,"41390","2020",0.3255529900,26,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
149,군포시,"41410","2020",0.2267607600,30,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
142,의왕시,"41430","2020",0.3829556300,22,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
144,하남시,"41450","2020",0.3581218600,24,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
131,용인시,"41460","2020",0.7291355700,11,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
