"objectid","sigun_nm","sigun_cd","crtr_yr","flod_dngr_idx","flod_dng_rnk","frst_rgtr_id","frst_reg_dt","mdfr_id","mdfcn_dt"
191,남양주시,"41360","2022",0.7579047400,11,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
207,오산시,"41370","2022",0.4358800400,28,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
196,시흥시,"41390","2022",0.6299362200,16,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
206,군포시,"41410","2022",0.4358800400,27,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
203,의왕시,"41430","2022",0.4596281700,24,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
198,하남시,"41450","2022",0.5514995300,18,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
195,용인시,"41460","2022",0.7083729100,15,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
186,파주시,"41480","2022",0.8447550500,6,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
183,이천시,"41500","2022",0.8978151700,3,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
187,안성시,"41550","2022",0.8066223400,7,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
193,김포시,"41570","2022",0.7355136400,13,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
192,화성시,"41590","2022",0.7566834000,12,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
181,광주시,"41610","2022",0.9081286500,1,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
197,양주시,"41630","2022",0.6264079300,17,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
190,포천시,"41650","2022",0.7931876800,10,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
184,여주시,"41670","2022",0.8697245200,4,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
188,연천군,"41800","2022",0.8041796700,8,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
185,가평군,"41820","2022",0.8455692800,5,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
182,양평군,"41830","2022",0.9018862800,2,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
171,수원시,"41110","2021",0.1240331100,22,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
177,성남시,"41130","2021",0.0536029300,28,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
179,의정부시,"41150","2021",0.0409824900,30,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
174,안양시,"41170","2021",0.0806079500,25,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
175,부천시,"41190","2021",0.0613380400,26,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
169,광명시,"41210","2021",0.1525308700,19,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
156,평택시,"41220","2021",0.5293798300,6,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
178,동두천시,"41250","2021",0.0468177500,29,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
246,안산시,"41270","2021",0.1347537000,20,system,2025-07-03 13:50:31.214,system,2025-07-03 13:50:31.214
