"objectid","sgg_cd","sgg_nm","crtr_yr","dgnppn_idx","pmpp_idx","flod_dngr_bdst_idx","flod_dngr_ppltn_idx","flod_dngr_oalp_idx","flod_dngr_fmld_idx","flod_dngr_oldbuld_idx","flod_dngr_dpptn_idx","flod_dngr_cltv_area_idx","dstpvt_fclt_dnsy_idx","acml_dstpvt_bgt_idx","flod_dngr_idx","frst_rgtr_id","frst_reg_dt","mdfr_id","mdfcn_dt"
290,"41290",경기도 과천시,"2017",0.7000000000,0.5000000000,0.1000000000,0.1000000000,0.1000000000,0.3000000000,0.1000000000,0.1000000000,0.3000000000,0.5000000000,0.7000000000,0.4411724800,system,2025-05-08 20:14:58.562,system,2025-05-08 20:14:58.562
291,"41310",경기도 구리시,"2017",0.9000000000,0.8000000000,0.4000000000,0.9000000000,0.6000000000,0.4000000000,0.8000000000,0.8000000000,0.5000000000,0.1000000000,0.3000000000,0.4831049000,system,2025-05-08 20:14:58.562,system,2025-05-08 20:14:58.562
292,"41360",경기도 남양주시,"2017",0.8000000000,0.8000000000,0.5000000000,0.7000000000,0.5000000000,0.5000000000,0.4000000000,0.7000000000,0.6000000000,0.7000000000,1.0000000000,0.8419052800,system,2025-05-08 20:14:58.562,system,2025-05-08 20:14:58.562
293,"41370",경기도 오산시,"2017",0.4000000000,0.4000000000,0.5000000000,0.5000000000,0.4000000000,0.3000000000,0.8000000000,0.5000000000,0.3000000000,0.2000000000,0.6000000000,0.3288098800,system,2025-05-08 20:14:58.562,system,2025-05-08 20:14:58.562
294,"41390",경기도 시흥시,"2017",0.4000000000,0.6000000000,0.3000000000,0.5000000000,0.5000000000,0.7000000000,0.5000000000,0.5000000000,0.5000000000,0.5000000000,0.7000000000,0.5737549200,system,2025-05-08 20:14:58.562,system,2025-05-08 20:14:58.562
295,"41410",경기도 군포시,"2017",0.6000000000,0.4000000000,0.2000000000,0.1000000000,0.3000000000,0.2000000000,0.4000000000,0.2000000000,0.1000000000,0.3000000000,0.7000000000,0.3023476700,system,2025-05-08 20:14:58.562,system,2025-05-08 20:14:58.562
296,"41430",경기도 의왕시,"2017",0.7000000000,0.5000000000,0.1000000000,0.2000000000,0.2000000000,0.2000000000,0.1000000000,0.2000000000,0.2000000000,0.2000000000,0.7000000000,0.3661283800,system,2025-05-08 20:14:58.562,system,2025-05-08 20:14:58.562
297,"41450",경기도 하남시,"2017",0.9000000000,0.6000000000,0.3000000000,0.8000000000,0.4000000000,0.3000000000,0.5000000000,0.8000000000,0.4000000000,0.1000000000,0.7000000000,0.4852761600,system,2025-05-08 20:14:58.562,system,2025-05-08 20:14:58.562
298,"41460",경기도 용인시,"2017",0.5000000000,0.4000000000,0.9000000000,0.8000000000,0.8000000000,0.8000000000,0.7000000000,0.8000000000,0.7000000000,0.6000000000,0.7000000000,0.5728049900,system,2025-05-08 20:14:58.562,system,2025-05-08 20:14:58.562
299,"41480",경기도 파주시,"2017",1.0000000000,0.4000000000,0.9000000000,0.7000000000,0.8000000000,0.9000000000,0.5000000000,0.7000000000,0.8000000000,0.9000000000,0.9000000000,0.7189578000,system,2025-05-08 20:14:58.562,system,2025-05-08 20:14:58.562
