"fbctn_yr","admdst_cd","admdst_se_cd","impvs_cd","admdst_nm","impvs_nm","biotop_area","frst_rgtr_id","frst_reg_dt","mdfr_id","mdfcn_dt"
"2025","4121000000",ADM002,E,광명시,녹지,18194602.281065719,system,2025-07-17 16:18:32.110,system,2025-07-17 16:18:32.110
"2025","4121000000",ADM002,F,광명시,수공간,563400.814616116,system,2025-07-17 16:18:32.110,system,2025-07-17 16:18:32.110
"2025","4122000000",ADM002,A,평택시,건폐지,113667747.280022065,system,2025-07-17 16:18:32.110,system,2025-07-17 16:18:32.110
"2025","4122000000",ADM002,B,평택시,비건폐포장지,34808081.450944690,system,2025-07-17 16:18:32.110,system,2025-07-17 16:18:32.110
"2025","4122000000",ADM002,C,평택시,반투수포장지,53855206.533630978,system,2025-07-17 16:18:32.110,system,2025-07-17 16:18:32.110
"2025","4122000000",ADM002,D,평택시,투수포장,7479680.683574892,system,2025-07-17 16:18:32.110,system,2025-07-17 16:18:32.110
"2025","4122000000",ADM002,E,평택시,녹지,238134900.441260661,system,2025-07-17 16:18:32.110,system,2025-07-17 16:18:32.110
"2025","4122000000",ADM002,F,평택시,수공간,31230411.410051142,system,2025-07-17 16:18:32.110,system,2025-07-17 16:18:32.110
"2025","4125000000",ADM002,A,동두천시,건폐지,15520334.460754913,system,2025-07-17 16:18:32.110,system,2025-07-17 16:18:32.110
"2025","4125000000",ADM002,B,동두천시,비건폐포장지,3740212.470418657,system,2025-07-17 16:18:32.110,system,2025-07-17 16:18:32.110
"2025","4125000000",ADM002,C,동두천시,반투수포장지,3470486.598097457,system,2025-07-17 16:18:32.110,system,2025-07-17 16:18:32.110
"2025","4125000000",ADM002,D,동두천시,투수포장,2248302.321043831,system,2025-07-17 16:18:32.110,system,2025-07-17 16:18:32.110
"2025","4125000000",ADM002,E,동두천시,녹지,69648315.201842950,system,2025-07-17 16:18:32.110,system,2025-07-17 16:18:32.110
"2025","4125000000",ADM002,F,동두천시,수공간,1290218.776826828,system,2025-07-17 16:18:32.110,system,2025-07-17 16:18:32.110
"2025","4127000000",ADM002,A,안산시,건폐지,39838295.874147442,system,2025-07-17 16:18:32.110,system,2025-07-17 16:18:32.110
"2025","4127000000",ADM002,B,안산시,비건폐포장지,16371947.735969292,system,2025-07-17 16:18:32.110,system,2025-07-17 16:18:32.110
"2025","4127000000",ADM002,C,안산시,반투수포장지,6739335.083907624,system,2025-07-17 16:18:32.110,system,2025-07-17 16:18:32.110
"2025","4127000000",ADM002,D,안산시,투수포장,4443707.221368931,system,2025-07-17 16:18:32.110,system,2025-07-17 16:18:32.110
"2025","4127000000",ADM002,E,안산시,녹지,79740770.981441036,system,2025-07-17 16:18:32.110,system,2025-07-17 16:18:32.110
"2025","4127000000",ADM002,F,안산시,수공간,2356567.264896238,system,2025-07-17 16:18:32.110,system,2025-07-17 16:18:32.110
"2025","4128000000",ADM002,A,고양시,건폐지,78069584.980568159,system,2025-07-17 16:18:32.110,system,2025-07-17 16:18:32.110
"2025","4128000000",ADM002,B,고양시,비건폐포장지,23803611.116501404,system,2025-07-17 16:18:32.110,system,2025-07-17 16:18:32.110
"2025","4128000000",ADM002,C,고양시,반투수포장지,11120835.045240783,system,2025-07-17 16:18:32.110,system,2025-07-17 16:18:32.110
"2025","4128000000",ADM002,D,고양시,투수포장,4457612.181257424,system,2025-07-17 16:18:32.110,system,2025-07-17 16:18:32.110
"2025","4128000000",ADM002,E,고양시,녹지,134736892.087906578,system,2025-07-17 16:18:32.110,system,2025-07-17 16:18:32.110
"2025","4128000000",ADM002,F,고양시,수공간,14375038.424357939,system,2025-07-17 16:18:32.110,system,2025-07-17 16:18:32.110
"2025","4129000000",ADM002,A,과천시,건폐지,5387632.124440830,system,2025-07-17 16:18:32.110,system,2025-07-17 16:18:32.110
"2025","4129000000",ADM002,B,과천시,비건폐포장지,1666671.363968559,system,2025-07-17 16:18:32.110,system,2025-07-17 16:18:32.110
"2025","4129000000",ADM002,C,과천시,반투수포장지,1887496.110599978,system,2025-07-17 16:18:32.110,system,2025-07-17 16:18:32.110
"2025","4129000000",ADM002,D,과천시,투수포장,214970.665445930,system,2025-07-17 16:18:32.110,system,2025-07-17 16:18:32.110
