"fbctn_yr","admdst_cd","admdst_se_cd","type_evl_grd5","admdst_nm","biotop_type_grd_area","frst_rgtr_id","frst_reg_dt","mdfr_id","mdfcn_dt"
"2025","41000",ADM001,"1",경기도,3393269901.490655939,system,2025-07-17 15:10:00.826,system,2025-07-17 15:10:00.826
"2025","41000",ADM001,"2",경기도,1997601850.705798109,system,2025-07-17 15:10:00.826,system,2025-07-17 15:10:00.826
"2025","41000",ADM001,"3",경기도,2336187883.625699067,system,2025-07-17 15:10:00.826,system,2025-07-17 15:10:00.826
"2025","41000",ADM001,"4",경기도,845438004.447636594,system,2025-07-17 15:10:00.826,system,2025-07-17 15:10:00.826
"2025","41000",ADM001,"5",경기도,1633709129.481576621,system,2025-07-17 15:10:00.826,system,2025-07-17 15:10:00.826
"2025","4111000000",ADM002,"1",수원시,14822034.904953357,system,2025-07-17 15:10:00.826,system,2025-07-17 15:10:00.826
"2025","4111000000",ADM002,"2",수원시,10774481.822972292,system,2025-07-17 15:10:00.826,system,2025-07-17 15:10:00.826
"2025","4111000000",ADM002,"3",수원시,28043175.532259085,system,2025-07-17 15:10:00.826,system,2025-07-17 15:10:00.826
"2025","4111000000",ADM002,"4",수원시,21400437.623327173,system,2025-07-17 15:10:00.826,system,2025-07-17 15:10:00.826
"2025","4111000000",ADM002,"5",수원시,46025005.305425655,system,2025-07-17 15:10:00.826,system,2025-07-17 15:10:00.826
"2025","4113000000",ADM002,"1",성남시,46641163.556323304,system,2025-07-17 15:10:00.826,system,2025-07-17 15:10:00.826
"2025","4113000000",ADM002,"2",성남시,15266103.433420021,system,2025-07-17 15:10:00.826,system,2025-07-17 15:10:00.826
"2025","4113000000",ADM002,"3",성남시,23080482.764833185,system,2025-07-17 15:10:00.826,system,2025-07-17 15:10:00.826
"2025","4113000000",ADM002,"4",성남시,17408653.275856832,system,2025-07-17 15:10:00.826,system,2025-07-17 15:10:00.826
"2025","4113000000",ADM002,"5",성남시,39055718.592050081,system,2025-07-17 15:10:00.826,system,2025-07-17 15:10:00.826
"2025","4115000000",ADM002,"1",의정부시,30391669.983893612,system,2025-07-17 15:10:00.826,system,2025-07-17 15:10:00.826
"2025","4115000000",ADM002,"2",의정부시,13889284.400780080,system,2025-07-17 15:10:00.826,system,2025-07-17 15:10:00.826
"2025","4115000000",ADM002,"3",의정부시,10561329.847290768,system,2025-07-17 15:10:00.826,system,2025-07-17 15:10:00.826
"2025","4115000000",ADM002,"4",의정부시,8617663.441044794,system,2025-07-17 15:10:00.826,system,2025-07-17 15:10:00.826
"2025","4115000000",ADM002,"5",의정부시,18364416.158725399,system,2025-07-17 15:10:00.826,system,2025-07-17 15:10:00.826
