"fbctn_yr","stdg_cd","impvs_cd","stdg_nm","impvs_nm","biotop_area","frst_rgtr_id","frst_reg_dt","mdfr_id","mdfcn_dt"
"2025","41135106  ",B,이매동,비건폐포장지,354423.952129074,system,2025-07-17 15:15:35.666,system,2025-07-17 15:15:35.666
"2025","41135106  ",C,이매동,반투수포장지,36543.508624284,system,2025-07-17 15:15:35.666,system,2025-07-17 15:15:35.666
"2025","41135106  ",D,이매동,투수포장,33464.447677614,system,2025-07-17 15:15:35.666,system,2025-07-17 15:15:35.666
"2025","41135106  ",E,이매동,녹지,1897546.011641930,system,2025-07-17 15:15:35.666,system,2025-07-17 15:15:35.666
"2025","41135106  ",F,이매동,수공간,70111.630831676,system,2025-07-17 15:15:35.666,system,2025-07-17 15:15:35.666
"2025","41135107  ",A,야탑동,건폐지,2291455.367295350,system,2025-07-17 15:15:36.160,system,2025-07-17 15:15:36.160
"2025","41135107  ",B,야탑동,비건폐포장지,732689.317945147,system,2025-07-17 15:15:36.160,system,2025-07-17 15:15:36.160
"2025","41135107  ",C,야탑동,반투수포장지,171391.357172951,system,2025-07-17 15:15:36.160,system,2025-07-17 15:15:36.160
"2025","41135107  ",D,야탑동,투수포장,637765.138433000,system,2025-07-17 15:15:36.160,system,2025-07-17 15:15:36.160
"2025","41135107  ",E,야탑동,녹지,2893836.148589980,system,2025-07-17 15:15:36.160,system,2025-07-17 15:15:36.160
"2025","41135107  ",F,야탑동,수공간,143814.827427404,system,2025-07-17 15:15:36.160,system,2025-07-17 15:15:36.160
"2025","41135109  ",A,삼평동,건폐지,1012373.767054340,system,2025-07-17 15:15:38.181,system,2025-07-17 15:15:38.181
"2025","41135109  ",B,삼평동,비건폐포장지,640577.034480237,system,2025-07-17 15:15:38.181,system,2025-07-17 15:15:38.181
"2025","41135109  ",C,삼평동,반투수포장지,30179.602798914,system,2025-07-17 15:15:38.181,system,2025-07-17 15:15:38.181
"2025","41135109  ",D,삼평동,투수포장,7219.229929291,system,2025-07-17 15:15:38.181,system,2025-07-17 15:15:38.181
"2025","41135109  ",E,삼평동,녹지,944684.227382858,system,2025-07-17 15:15:38.181,system,2025-07-17 15:15:38.181
"2025","41111129  ",A,파장동,건폐지,828873.753076358,system,2025-07-17 15:11:27.503,system,2025-07-17 15:11:27.503
"2025","41111129  ",B,파장동,비건폐포장지,440472.303697735,system,2025-07-17 15:11:27.503,system,2025-07-17 15:11:27.503
"2025","41111129  ",C,파장동,반투수포장지,104472.569847510,system,2025-07-17 15:11:27.503,system,2025-07-17 15:11:27.503
"2025","41111129  ",D,파장동,투수포장,47191.449664755,system,2025-07-17 15:11:27.503,system,2025-07-17 15:11:27.503
"2025","41111129  ",E,파장동,녹지,3621328.351167910,system,2025-07-17 15:11:27.503,system,2025-07-17 15:11:27.503
"2025","41111129  ",F,파장동,수공간,71100.661506336,system,2025-07-17 15:11:27.503,system,2025-07-17 15:11:27.503
"2025","41830350  ",A,서종면,건폐지,5816127.204831910,system,2025-07-17 15:11:28.653,system,2025-07-17 15:11:28.653
"2025","41830350  ",B,서종면,비건폐포장지,1817427.648294280,system,2025-07-17 15:11:28.653,system,2025-07-17 15:11:28.653
"2025","41830350  ",C,서종면,반투수포장지,3388049.067237670,system,2025-07-17 15:11:28.653,system,2025-07-17 15:11:28.653
"2025","41830350  ",D,서종면,투수포장,1329117.997512500,system,2025-07-17 15:11:28.653,system,2025-07-17 15:11:28.653
"2025","41830350  ",E,서종면,녹지,77093442.797376200,system,2025-07-17 15:11:28.653,system,2025-07-17 15:11:28.653
"2025","41830350  ",F,서종면,수공간,3364859.221198930,system,2025-07-17 15:11:28.653,system,2025-07-17 15:11:28.653
"2025","41830360  ",A,단월면,건폐지,3559740.576302920,system,2025-07-17 15:11:48.430,system,2025-07-17 15:11:48.430
"2025","41830360  ",B,단월면,비건폐포장지,1402507.412717330,system,2025-07-17 15:11:48.430,system,2025-07-17 15:11:48.430
"2025","41830360  ",C,단월면,반투수포장지,1063116.879418180,system,2025-07-17 15:11:48.430,system,2025-07-17 15:11:48.430
"2025","41830360  ",D,단월면,투수포장,1073743.761030200,system,2025-07-17 15:11:48.430,system,2025-07-17 15:11:48.430
"2025","41830360  ",E,단월면,녹지,98159024.578832800,system,2025-07-17 15:11:48.430,system,2025-07-17 15:11:48.430
"2025","41830360  ",F,단월면,수공간,2439982.589405280,system,2025-07-17 15:11:48.430,system,2025-07-17 15:11:48.430
"2025","41830370  ",A,청운면,건폐지,4636705.569461460,system,2025-07-17 15:12:25.772,system,2025-07-17 15:12:25.772
"2025","41830370  ",B,청운면,비건폐포장지,1399147.608178530,system,2025-07-17 15:12:25.772,system,2025-07-17 15:12:25.772
"2025","41830370  ",C,청운면,반투수포장지,1512741.669994070,system,2025-07-17 15:12:25.772,system,2025-07-17 15:12:25.772
"2025","41830370  ",D,청운면,투수포장,982732.963083725,system,2025-07-17 15:12:25.772,system,2025-07-17 15:12:25.772
"2025","41830370  ",E,청운면,녹지,86668481.634701500,system,2025-07-17 15:12:25.772,system,2025-07-17 15:12:25.772
"2025","41830370  ",F,청운면,수공간,1259684.642215880,system,2025-07-17 15:12:25.772,system,2025-07-17 15:12:25.772
"2025","41830380  ",A,양동면,건폐지,5269161.623746650,system,2025-07-17 15:12:43.916,system,2025-07-17 15:12:43.916
"2025","41830380  ",B,양동면,비건폐포장지,2183779.920607270,system,2025-07-17 15:12:43.916,system,2025-07-17 15:12:43.916
"2025","41830380  ",C,양동면,반투수포장지,1815437.431252510,system,2025-07-17 15:12:43.916,system,2025-07-17 15:12:43.916
"2025","41830380  ",D,양동면,투수포장,2146490.181153760,system,2025-07-17 15:12:43.916,system,2025-07-17 15:12:43.916
"2025","41830380  ",E,양동면,녹지,106643974.887467000,system,2025-07-17 15:12:43.916,system,2025-07-17 15:12:43.916
"2025","41830380  ",F,양동면,수공간,2127116.776345340,system,2025-07-17 15:12:43.916,system,2025-07-17 15:12:43.916
"2025","41830395  ",A,지평면,건폐지,7441344.181143660,system,2025-07-17 15:13:18.265,system,2025-07-17 15:13:18.265
"2025","41830395  ",B,지평면,비건폐포장지,1828277.239066070,system,2025-07-17 15:13:18.265,system,2025-07-17 15:13:18.265
"2025","41830395  ",C,지평면,반투수포장지,1868593.343328450,system,2025-07-17 15:13:18.265,system,2025-07-17 15:13:18.265
"2025","41830395  ",D,지평면,투수포장,1673085.092220630,system,2025-07-17 15:13:18.265,system,2025-07-17 15:13:18.265
"2025","41830395  ",E,지평면,녹지,63094922.041645800,system,2025-07-17 15:13:18.265,system,2025-07-17 15:13:18.265
"2025","41830395  ",F,지평면,수공간,1782599.907915370,system,2025-07-17 15:13:18.265,system,2025-07-17 15:13:18.265
"2025","41830400  ",A,용문면,건폐지,7419377.967790560,system,2025-07-17 15:13:54.015,system,2025-07-17 15:13:54.015
"2025","41830400  ",B,용문면,비건폐포장지,2213282.379503290,system,2025-07-17 15:13:54.015,system,2025-07-17 15:13:54.015
"2025","41830400  ",C,용문면,반투수포장지,2514481.100963800,system,2025-07-17 15:13:54.015,system,2025-07-17 15:13:54.015
"2025","41830400  ",D,용문면,투수포장,1263409.970934130,system,2025-07-17 15:13:54.015,system,2025-07-17 15:13:54.015
"2025","41830400  ",E,용문면,녹지,86167385.925854300,system,2025-07-17 15:13:54.015,system,2025-07-17 15:13:54.015
"2025","41830400  ",F,용문면,수공간,2769565.857166400,system,2025-07-17 15:13:54.015,system,2025-07-17 15:13:54.015
"2025","41830410  ",A,개군면,건폐지,4865735.977132650,system,2025-07-17 15:14:25.410,system,2025-07-17 15:14:25.410
"2025","41830410  ",B,개군면,비건폐포장지,941207.021011519,system,2025-07-17 15:14:25.410,system,2025-07-17 15:14:25.410
"2025","41830410  ",C,개군면,반투수포장지,1245154.378532190,system,2025-07-17 15:14:25.410,system,2025-07-17 15:14:25.410
"2025","41830410  ",D,개군면,투수포장,841312.618354697,system,2025-07-17 15:14:25.410,system,2025-07-17 15:14:25.410
"2025","41830410  ",E,개군면,녹지,22331671.806524600,system,2025-07-17 15:14:25.410,system,2025-07-17 15:14:25.410
"2025","41830410  ",F,개군면,수공간,2059518.680190620,system,2025-07-17 15:14:25.410,system,2025-07-17 15:14:25.410
"2025","41111130  ",A,정자동,건폐지,1726438.322621520,system,2025-07-17 15:14:32.317,system,2025-07-17 15:14:32.317
"2025","41111130  ",B,정자동,비건폐포장지,583349.036366410,system,2025-07-17 15:14:32.317,system,2025-07-17 15:14:32.317
"2025","41111130  ",C,정자동,반투수포장지,262223.093478934,system,2025-07-17 15:14:32.317,system,2025-07-17 15:14:32.317
"2025","41111130  ",D,정자동,투수포장,252.911732129,system,2025-07-17 15:14:32.317,system,2025-07-17 15:14:32.317
"2025","41111130  ",E,정자동,녹지,782343.745613621,system,2025-07-17 15:14:32.317,system,2025-07-17 15:14:32.317
"2025","41111130  ",F,정자동,수공간,19645.086717297,system,2025-07-17 15:14:32.317,system,2025-07-17 15:14:32.317
"2025","41111131  ",A,이목동,건폐지,571269.306009414,system,2025-07-17 15:14:33.765,system,2025-07-17 15:14:33.765
"2025","41111131  ",B,이목동,비건폐포장지,272782.727327667,system,2025-07-17 15:14:33.765,system,2025-07-17 15:14:33.765
"2025","41111131  ",C,이목동,반투수포장지,359200.839160600,system,2025-07-17 15:14:33.765,system,2025-07-17 15:14:33.765
"2025","41111131  ",D,이목동,투수포장,150354.989730979,system,2025-07-17 15:14:33.765,system,2025-07-17 15:14:33.765
"2025","41111131  ",E,이목동,녹지,2143857.492416070,system,2025-07-17 15:14:33.765,system,2025-07-17 15:14:33.765
"2025","41111131  ",F,이목동,수공간,34260.972483827,system,2025-07-17 15:14:33.765,system,2025-07-17 15:14:33.765
"2025","41111132  ",A,율전동,건폐지,644933.469443128,system,2025-07-17 15:14:34.823,system,2025-07-17 15:14:34.823
"2025","41111132  ",B,율전동,비건폐포장지,376996.125678518,system,2025-07-17 15:14:34.823,system,2025-07-17 15:14:34.823
"2025","41111132  ",C,율전동,반투수포장지,29337.222286842,system,2025-07-17 15:14:34.823,system,2025-07-17 15:14:34.823
"2025","41111132  ",D,율전동,투수포장,45097.447875538,system,2025-07-17 15:14:34.823,system,2025-07-17 15:14:34.823
"2025","41111132  ",E,율전동,녹지,794430.660116953,system,2025-07-17 15:14:34.823,system,2025-07-17 15:14:34.823
"2025","41111132  ",F,율전동,수공간,19631.234859968,system,2025-07-17 15:14:34.823,system,2025-07-17 15:14:34.823
"2025","41111133  ",A,천천동,건폐지,820940.486511984,system,2025-07-17 15:14:35.761,system,2025-07-17 15:14:35.761
"2025","41111133  ",B,천천동,비건폐포장지,334078.621503477,system,2025-07-17 15:14:35.761,system,2025-07-17 15:14:35.761
"2025","41111133  ",C,천천동,반투수포장지,165247.392091089,system,2025-07-17 15:14:35.761,system,2025-07-17 15:14:35.761
"2025","41111133  ",E,천천동,녹지,612833.945991335,system,2025-07-17 15:14:35.761,system,2025-07-17 15:14:35.761
"2025","41111133  ",F,천천동,수공간,53403.177309050,system,2025-07-17 15:14:35.761,system,2025-07-17 15:14:35.761
"2025","41115120  ",A,팔달로1가,건폐지,31212.137927337,system,2025-07-17 15:14:36.318,system,2025-07-17 15:14:36.318
"2025","41115120  ",B,팔달로1가,비건폐포장지,12581.927117828,system,2025-07-17 15:14:36.318,system,2025-07-17 15:14:36.318
"2025","41115120  ",C,팔달로1가,반투수포장지,4330.350752964,system,2025-07-17 15:14:36.318,system,2025-07-17 15:14:36.318
"2025","41115120  ",E,팔달로1가,녹지,1149.322841492,system,2025-07-17 15:14:36.318,system,2025-07-17 15:14:36.318
"2025","41111134  ",A,영화동,건폐지,843777.913555494,system,2025-07-17 15:14:36.367,system,2025-07-17 15:14:36.367
"2025","41111134  ",B,영화동,비건폐포장지,296699.374769182,system,2025-07-17 15:14:36.367,system,2025-07-17 15:14:36.367
"2025","41111134  ",C,영화동,반투수포장지,11988.631488536,system,2025-07-17 15:14:36.367,system,2025-07-17 15:14:36.367
"2025","41111134  ",D,영화동,투수포장,248.552927040,system,2025-07-17 15:14:36.367,system,2025-07-17 15:14:36.367
"2025","41111134  ",E,영화동,녹지,119774.774210563,system,2025-07-17 15:14:36.367,system,2025-07-17 15:14:36.367
"2025","41111134  ",F,영화동,수공간,8098.357885286,system,2025-07-17 15:14:36.367,system,2025-07-17 15:14:36.367
"2025","41111135  ",A,송죽동,건폐지,588731.975304748,system,2025-07-17 15:14:37.032,system,2025-07-17 15:14:37.032
"2025","41111135  ",B,송죽동,비건폐포장지,246621.067526580,system,2025-07-17 15:14:37.032,system,2025-07-17 15:14:37.032
"2025","41111135  ",C,송죽동,반투수포장지,8064.702277804,system,2025-07-17 15:14:37.032,system,2025-07-17 15:14:37.032
"2025","41111135  ",D,송죽동,투수포장,15523.065018302,system,2025-07-17 15:14:37.032,system,2025-07-17 15:14:37.032
"2025","41111135  ",E,송죽동,녹지,711844.514310089,system,2025-07-17 15:14:37.032,system,2025-07-17 15:14:37.032
"2025","41111135  ",F,송죽동,수공간,107341.841910876,system,2025-07-17 15:14:37.032,system,2025-07-17 15:14:37.032
"2025","41115121  ",A,팔달로2가,건폐지,31418.366822291,system,2025-07-17 15:14:37.485,system,2025-07-17 15:14:37.485
"2025","41115121  ",B,팔달로2가,비건폐포장지,13171.987637587,system,2025-07-17 15:14:37.485,system,2025-07-17 15:14:37.485
"2025","41115121  ",C,팔달로2가,반투수포장지,2275.038240073,system,2025-07-17 15:14:37.485,system,2025-07-17 15:14:37.485
"2025","41115121  ",E,팔달로2가,녹지,468.010120943,system,2025-07-17 15:14:37.485,system,2025-07-17 15:14:37.485
"2025","41550113  ",A,인지동,건폐지,71951.083098780,system,2025-07-17 15:14:37.538,system,2025-07-17 15:14:37.538
"2025","41550113  ",B,인지동,비건폐포장지,30270.406733894,system,2025-07-17 15:14:37.538,system,2025-07-17 15:14:37.538
"2025","41550113  ",C,인지동,반투수포장지,4988.604228376,system,2025-07-17 15:14:37.538,system,2025-07-17 15:14:37.538
"2025","41111136  ",A,조원동,건폐지,1190300.766986730,system,2025-07-17 15:14:37.595,system,2025-07-17 15:14:37.595
"2025","41111136  ",B,조원동,비건폐포장지,512657.146418080,system,2025-07-17 15:14:37.595,system,2025-07-17 15:14:37.595
"2025","41111136  ",C,조원동,반투수포장지,32406.570344523,system,2025-07-17 15:14:37.595,system,2025-07-17 15:14:37.595
"2025","41111136  ",D,조원동,투수포장,11393.596399667,system,2025-07-17 15:14:37.595,system,2025-07-17 15:14:37.595
"2025","41111136  ",E,조원동,녹지,1139536.939474770,system,2025-07-17 15:14:37.595,system,2025-07-17 15:14:37.595
"2025","41111136  ",F,조원동,수공간,7348.820843982,system,2025-07-17 15:14:37.595,system,2025-07-17 15:14:37.595
"2025","41115122  ",A,팔달로3가,건폐지,60158.240170326,system,2025-07-17 15:14:38.211,system,2025-07-17 15:14:38.211
"2025","41115122  ",B,팔달로3가,비건폐포장지,15884.052097547,system,2025-07-17 15:14:38.211,system,2025-07-17 15:14:38.211
"2025","41115122  ",C,팔달로3가,반투수포장지,1399.115071906,system,2025-07-17 15:14:38.211,system,2025-07-17 15:14:38.211
"2025","41115122  ",E,팔달로3가,녹지,16595.722176027,system,2025-07-17 15:14:38.211,system,2025-07-17 15:14:38.211
