"fbctn_yr","stdg_cd","type_evl_grd7","stdg_nm","biotop_type_grd_area","frst_rgtr_id","frst_reg_dt","mdfr_id","mdfcn_dt"
"2025","41117103  ","1",이의동,1293363.371766290,system,2025-07-17 14:29:27.291,system,2025-07-17 14:29:27.291
"2025","41117103  ","2",이의동,1479446.201184850,system,2025-07-17 14:29:27.291,system,2025-07-17 14:29:27.291
"2025","41117103  ","3",이의동,1438753.056374670,system,2025-07-17 14:29:27.291,system,2025-07-17 14:29:27.291
"2025","41117103  ","4",이의동,261906.840255638,system,2025-07-17 14:29:27.291,system,2025-07-17 14:29:27.291
"2025","41117103  ","5",이의동,479691.578359337,system,2025-07-17 14:29:27.291,system,2025-07-17 14:29:27.291
"2025","41117103  ","6",이의동,1457721.435657610,system,2025-07-17 14:29:27.291,system,2025-07-17 14:29:27.291
"2025","41117103  ","7",이의동,1554597.216508810,system,2025-07-17 14:29:27.291,system,2025-07-17 14:29:27.291
"2025","41131104  ","1",단대동,162299.812412679,system,2025-07-17 14:29:30.083,system,2025-07-17 14:29:30.083
"2025","41131104  ","2",단대동,47587.082257892,system,2025-07-17 14:29:30.083,system,2025-07-17 14:29:30.083
"2025","41131104  ","3",단대동,99332.508163832,system,2025-07-17 14:29:30.083,system,2025-07-17 14:29:30.083
"2025","41131104  ","4",단대동,2060.523100069,system,2025-07-17 14:29:30.083,system,2025-07-17 14:29:30.083
"2025","41131104  ","5",단대동,34355.342337203,system,2025-07-17 14:29:30.083,system,2025-07-17 14:29:30.083
"2025","41131104  ","6",단대동,312626.892398486,system,2025-07-17 14:29:30.083,system,2025-07-17 14:29:30.083
"2025","41131104  ","7",단대동,144682.538146722,system,2025-07-17 14:29:30.083,system,2025-07-17 14:29:30.083
"2025","41117104  ","1",하동,445683.937571420,system,2025-07-17 14:29:30.352,system,2025-07-17 14:29:30.352
"2025","41117104  ","2",하동,416596.855283228,system,2025-07-17 14:29:30.352,system,2025-07-17 14:29:30.352
