"crtr_yr","admdst_se_cd","admdst_cd","admdst_nm","ldsld_dngr_grd1_area","ldsld_dngr_grd2_area","ldsld_dngr_grd3_area","ldsld_dngr_grd4_area","ldsld_dngr_grd5_area","ldsld_dngr_grd1_area_rt","ldsld_dngr_grd2_area_rt","ldsld_dngr_grd3_area_rt","ldsld_dngr_grd4_area_rt","ldsld_dngr_grd5_area_rt","frst_rgtr_id","frst_reg_dt","mdfr_id","mdfcn_dt"
"2023",ADM002,"31230",김포시,245200.000000000,695900.000000000,1105000.000000000,1797900.000000000,3113300.000000000,0.04,0.10,0.16,0.26,0.45,system,2025-06-11 11:34:19.106,system,2025-06-11 11:34:19.106
"2023",ADM002,"31240",화성시,9010400.000000000,26090900.000000000,37565400.000000000,42893500.000000000,42615200.000000000,0.06,0.16,0.24,0.27,0.27,system,2025-06-11 11:34:19.106,system,2025-06-11 11:34:19.106
"2023",ADM002,"31250",광주시,18406000.000000000,54226800.000000000,61482900.000000000,95956100.000000000,39924000.000000000,0.07,0.20,0.23,0.36,0.15,system,2025-06-11 11:34:19.106,system,2025-06-11 11:34:19.106
"2023",ADM002,"31260",양주시,14089900.000000000,22121500.000000000,25496200.000000000,30650900.000000000,18700200.000000000,0.13,0.20,0.23,0.28,0.17,system,2025-06-11 11:34:19.106,system,2025-06-11 11:34:19.106
"2023",ADM002,"31270",포천시,60534300.000000000,81202100.000000000,100378900.000000000,124378300.000000000,56614600.000000000,0.14,0.19,0.24,0.29,0.13,system,2025-06-11 11:34:19.106,system,2025-06-11 11:34:19.106
"2023",ADM002,"31280",여주시,37582500.000000000,53950700.000000000,66348100.000000000,64930900.000000000,30932200.000000000,0.15,0.21,0.26,0.26,0.12,system,2025-06-11 11:34:19.106,system,2025-06-11 11:34:19.106
"2023",ADM002,"31570",가평군,63192300.000000000,153152100.000000000,161475100.000000000,232545000.000000000,74645400.000000000,0.09,0.22,0.24,0.34,0.11,system,2025-06-11 11:34:19.106,system,2025-06-11 11:34:19.106
"2023",ADM002,"31580",양평군,61823400.000000000,128584100.000000000,151667900.000000000,202361900.000000000,76810600.000000000,0.10,0.21,0.24,0.33,0.12,system,2025-06-11 11:34:19.106,system,2025-06-11 11:34:19.106
"2023",ADM002,"31550",연천군,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.00,0.00,0.00,0.00,0.00,system,2025-06-11 11:34:19.106,system,2025-06-11 11:34:19.106
"2023",ADM004,"31192670",동백1동,113100.000000000,341400.000000000,365600.000000000,461100.000000000,265200.000000000,0.07,0.22,0.24,0.30,0.17,system,2025-06-11 11:36:59.301,system,2025-06-11 11:36:59.301
"2023",ADM004,"31192680",동백2동,188300.000000000,633300.000000000,591400.000000000,597800.000000000,336100.000000000,0.08,0.27,0.25,0.25,0.14,system,2025-06-11 11:36:59.301,system,2025-06-11 11:36:59.301
"2023",ADM004,"31193510",풍덕천1동,12200.000000000,35600.000000000,64200.000000000,137400.000000000,127300.000000000,0.03,0.09,0.17,0.36,0.34,system,2025-06-11 11:36:59.301,system,2025-06-11 11:36:59.301
"2023",ADM004,"31193550",죽전2동,0.000000000,0.000000000,200.000000000,400.000000000,0.000000000,0.00,0.00,0.33,0.67,0.00,system,2025-06-11 11:36:59.301,system,2025-06-11 11:36:59.301
"2023",ADM004,"31193560",동천동,669100.000000000,1807500.000000000,2179400.000000000,4071400.000000000,1849900.000000000,0.06,0.17,0.21,0.38,0.17,system,2025-06-11 11:36:59.301,system,2025-06-11 11:36:59.301
"2023",ADM004,"31193580",상현2동,5300.000000000,28200.000000000,58900.000000000,72000.000000000,313800.000000000,0.01,0.06,0.12,0.15,0.66,system,2025-06-11 11:36:59.301,system,2025-06-11 11:36:59.301
"2023",ADM004,"31193590",성복동,148400.000000000,371100.000000000,437000.000000000,724200.000000000,556700.000000000,0.07,0.17,0.20,0.32,0.25,system,2025-06-11 11:36:59.301,system,2025-06-11 11:36:59.301
"2023",ADM004,"31193600",죽전1동,21600.000000000,100700.000000000,157800.000000000,391900.000000000,257200.000000000,0.02,0.11,0.17,0.42,0.28,system,2025-06-11 11:36:59.301,system,2025-06-11 11:36:59.301
"2023",ADM004,"31193610",죽전3동,65300.000000000,181700.000000000,156900.000000000,198600.000000000,56700.000000000,0.10,0.28,0.24,0.30,0.09,system,2025-06-11 11:36:59.301,system,2025-06-11 11:36:59.301
"2023",ADM004,"31193620",상현1동,0.000000000,200.000000000,900.000000000,2400.000000000,4800.000000000,0.00,0.02,0.11,0.29,0.58,system,2025-06-11 11:36:59.301,system,2025-06-11 11:36:59.301
"2023",ADM004,"31193630",상현3동,32700.000000000,92500.000000000,194900.000000000,424700.000000000,417900.000000000,0.03,0.08,0.17,0.37,0.36,system,2025-06-11 11:36:59.301,system,2025-06-11 11:36:59.301
"2023",ADM004,"31200110",문산읍,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.00,0.00,0.00,0.00,0.00,system,2025-06-11 11:36:59.301,system,2025-06-11 11:36:59.301
"2023",ADM004,"31200120",파주읍,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.00,0.00,0.00,0.00,0.00,system,2025-06-11 11:36:59.301,system,2025-06-11 11:36:59.301
"2023",ADM004,"31200130",법원읍,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.00,0.00,0.00,0.00,0.00,system,2025-06-11 11:36:59.301,system,2025-06-11 11:36:59.301
"2023",ADM004,"31200150",조리읍,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.00,0.00,0.00,0.00,0.00,system,2025-06-11 11:36:59.301,system,2025-06-11 11:36:59.301
"2023",ADM004,"31200310",월롱면,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.00,0.00,0.00,0.00,0.00,system,2025-06-11 11:36:59.301,system,2025-06-11 11:36:59.301
"2023",ADM004,"31200320",탄현면,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.00,0.00,0.00,0.00,0.00,system,2025-06-11 11:36:59.301,system,2025-06-11 11:36:59.301
"2023",ADM004,"31200516",운정6동,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.00,0.00,0.00,0.00,0.00,system,2025-06-11 11:36:59.301,system,2025-06-11 11:36:59.301
"2023",ADM004,"31200520",금촌2동,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.00,0.00,0.00,0.00,0.00,system,2025-06-11 11:36:59.301,system,2025-06-11 11:36:59.301
"2023",ADM004,"31200570",운정2동,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.00,0.00,0.00,0.00,0.00,system,2025-06-11 11:36:59.301,system,2025-06-11 11:36:59.301
"2023",ADM004,"31210110",장호원읍,2185500.000000000,2582900.000000000,3601800.000000000,3514300.000000000,2026100.000000000,0.16,0.19,0.26,0.25,0.15,system,2025-06-11 11:36:59.301,system,2025-06-11 11:36:59.301
"2023",ADM004,"31210120",부발읍,222500.000000000,445800.000000000,856100.000000000,1452200.000000000,1216200.000000000,0.05,0.11,0.20,0.35,0.29,system,2025-06-11 11:36:59.301,system,2025-06-11 11:36:59.301
"2023",ADM004,"31210310",신둔면,1540600.000000000,3626900.000000000,3309200.000000000,3603500.000000000,1897000.000000000,0.11,0.26,0.24,0.26,0.14,system,2025-06-11 11:36:59.301,system,2025-06-11 11:36:59.301
"2023",ADM004,"31210320",백사면,704300.000000000,1693300.000000000,1821300.000000000,2114000.000000000,1427600.000000000,0.09,0.22,0.23,0.27,0.18,system,2025-06-11 11:36:59.301,system,2025-06-11 11:36:59.301
"2023",ADM004,"31210330",호법면,1928400.000000000,2705900.000000000,3286900.000000000,3064200.000000000,1944800.000000000,0.15,0.21,0.25,0.24,0.15,system,2025-06-11 11:36:59.301,system,2025-06-11 11:36:59.301
"2023",ADM004,"31210340",마장면,3088900.000000000,5500200.000000000,6523400.000000000,6785600.000000000,4883900.000000000,0.12,0.21,0.24,0.25,0.18,system,2025-06-11 11:36:59.301,system,2025-06-11 11:36:59.301
"2023",ADM004,"31210350",대월면,380200.000000000,624200.000000000,973800.000000000,1217500.000000000,1485800.000000000,0.08,0.13,0.21,0.26,0.32,system,2025-06-11 11:36:59.301,system,2025-06-11 11:36:59.301
