"cmpttn_yr","admdst_cd","admdst_se_cd","admdst_nm","bldg_elpwr_use_cbn_ehqty","bldg_gas_use_cbn_ehqty","bldg_hetng_use_cbn_ehqty","trsp_lv6_cbn_ehqty","sum_ehqty","frst_rgtr_id","frst_reg_dt","mdfr_id","mdfcn_dt"
"2013","4145000000",ADM002,하남시,288428.5700000000,147668.8000000000,0.0000000000,0.0000000000,436097.3700000000,system,2025-06-11 17:19:43.731,system,2025-06-11 17:19:43.731
"2013","4146000000",ADM002,용인시,2419554.3400000000,788470.8400000000,205772.8900000000,0.0000000000,3413798.0700000000,system,2025-06-11 17:19:43.731,system,2025-06-11 17:19:43.731
"2013","4148000000",ADM002,파주시,1458517.5100000000,416105.3000000000,34291.9200000000,0.0000000000,1908914.7300000000,system,2025-06-11 17:19:43.731,system,2025-06-11 17:19:43.731
"2013","4150000000",ADM002,이천시,1828088.3600000000,391662.1600000000,0.0000000000,0.0000000000,2219750.5200000000,system,2025-06-11 17:19:43.731,system,2025-06-11 17:19:43.731
"2013","4155000000",ADM002,안성시,1110326.6600000000,228359.1100000000,0.0000000000,0.0000000000,1338685.7700000000,system,2025-06-11 17:19:43.731,system,2025-06-11 17:19:43.731
"2013","4157000000",ADM002,김포시,1178739.5900000000,218190.1000000000,29760.9300000000,0.0000000000,1426690.6200000000,system,2025-06-11 17:19:43.731,system,2025-06-11 17:19:43.731
"2013","4159000000",ADM002,화성시,5938112.4000000000,827744.7100000000,77506.8400000000,0.0000000000,6843363.9500000000,system,2025-06-11 17:19:43.731,system,2025-06-11 17:19:43.731
"2013","4161000000",ADM002,광주시,929234.5900000000,259919.4800000000,0.0000000000,0.0000000000,1189154.0700000000,system,2025-06-11 17:19:43.731,system,2025-06-11 17:19:43.731
"2013","4163000000",ADM002,양주시,821853.8400000000,323935.7400000000,6731.7300000000,0.0000000000,1152521.3100000000,system,2025-06-11 17:19:43.731,system,2025-06-11 17:19:43.731
"2013","4165000000",ADM002,포천시,1023980.6200000000,87307.3300000000,0.0000000000,0.0000000000,1111287.9500000000,system,2025-06-11 17:19:43.731,system,2025-06-11 17:19:43.731
"2013","4167000000",ADM002,여주시,483152.4500000000,250227.8800000000,0.0000000000,0.0000000000,733380.3300000000,system,2025-06-11 17:19:43.731,system,2025-06-11 17:19:43.731
"2013","4180000000",ADM002,연천군,163498.7100000000,15144.0700000000,0.0000000000,0.0000000000,178642.7800000000,system,2025-06-11 17:19:43.731,system,2025-06-11 17:19:43.731
"2013","4182000000",ADM002,가평군,248008.7500000000,7992.5700000000,0.0000000000,0.0000000000,256001.3200000000,system,2025-06-11 17:19:43.731,system,2025-06-11 17:19:43.731
