"crtr_ymd","admdst_cd","admdst_nm","admdst_se_cd","sum_genqy","sum_area","frst_rgtr_id","frst_reg_dt","mdfr_id","mdfcn_dt","grnd_rftp_se_cd"
"2025    ","4128000000",고양시,ADM002,330224548.4403991700,248.560100000,system,2025-07-17 09:24:38.058,system,2025-07-17 09:24:38.058,GRF002
"2025    ","4128000000",고양시,ADM002,23981968.9082336342,18.001900000,system,2025-07-17 09:24:38.058,system,2025-07-17 09:24:38.058,GRF003
"2025    ","4129000000",과천시,ADM002,45817207.1682128750,34.433300000,system,2025-07-17 09:24:38.058,system,2025-07-17 09:24:38.058,GRF002
"2025    ","4129000000",과천시,ADM002,1887336.3596649175,1.417300000,system,2025-07-17 09:24:38.058,system,2025-07-17 09:24:38.058,GRF003
"2025    ","4131000000",구리시,ADM002,40719848.2721557500,30.712100000,system,2025-07-17 09:24:38.058,system,2025-07-17 09:24:38.058,GRF002
"2025    ","4131000000",구리시,ADM002,3327159.2936706540,2.505900000,system,2025-07-17 09:24:38.058,system,2025-07-17 09:24:38.058,GRF003
"2025    ","4136000000",남양주시,ADM002,585032311.3425979790,443.883500000,system,2025-07-17 09:24:38.058,system,2025-07-17 09:24:38.058,GRF002
"2025    ","4136000000",남양주시,ADM002,20793789.0363006527,15.776100000,system,2025-07-17 09:24:38.058,system,2025-07-17 09:24:38.058,GRF003
"2025    ","4137000000",오산시,ADM002,51529520.4597167950,38.793500000,system,2025-07-17 09:24:38.058,system,2025-07-17 09:24:38.058,GRF002
"2025    ","4137000000",오산시,ADM002,5137942.8057403566,3.869500000,system,2025-07-17 09:24:38.058,system,2025-07-17 09:24:38.058,GRF003
"2025    ","4139000000",시흥시,ADM002,164174987.6917724960,122.397000000,system,2025-07-17 09:24:38.058,system,2025-07-17 09:24:38.058,GRF002
"2025    ","4139000000",시흥시,ADM002,16125016.9164733929,12.010100000,system,2025-07-17 09:24:38.058,system,2025-07-17 09:24:38.058,GRF003
"2025    ","4141000000",군포시,ADM002,44663672.4020080900,33.367800000,system,2025-07-17 09:24:38.058,system,2025-07-17 09:24:38.058,GRF002
"2025    ","4141000000",군포시,ADM002,4090452.2637481679,3.062600000,system,2025-07-17 09:24:38.058,system,2025-07-17 09:24:38.058,GRF003
"2025    ","4143000000",의왕시,ADM002,68752352.0058135400,51.690100000,system,2025-07-17 09:24:38.058,system,2025-07-17 09:24:38.058,GRF002
"2025    ","4143000000",의왕시,ADM002,2901074.8056793220,2.176500000,system,2025-07-17 09:24:38.058,system,2025-07-17 09:24:38.058,GRF003
"2025    ","4145000000",하남시,ADM002,115559436.9312896400,87.492700000,system,2025-07-17 09:24:38.058,system,2025-07-17 09:24:38.058,GRF002
"2025    ","4145000000",하남시,ADM002,6874431.3259429947,5.204600000,system,2025-07-17 09:24:38.058,system,2025-07-17 09:24:38.058,GRF003
"2025    ","4146000000",용인시,ADM002,752545104.3075256100,568.954300000,system,2025-07-17 09:24:38.058,system,2025-07-17 09:24:38.058,GRF002
"2025    ","4146000000",용인시,ADM002,30148022.6715545723,22.813100000,system,2025-07-17 09:24:38.058,system,2025-07-17 09:24:38.058,GRF003
"2025    ","4148000000",파주시,ADM002,889450183.8556365200,670.662900000,system,2025-07-17 09:24:38.058,system,2025-07-17 09:24:38.058,GRF002
"2025    ","4148000000",파주시,ADM002,24570191.5508880630,18.545600000,system,2025-07-17 09:24:38.058,system,2025-07-17 09:24:38.058,GRF003
"2025    ","4150000000",이천시,ADM002,582117766.3552323700,445.943800000,system,2025-07-17 09:24:38.058,system,2025-07-17 09:24:38.058,GRF002
"2025    ","4150000000",이천시,ADM002,20811695.6996002220,15.964200000,system,2025-07-17 09:24:38.058,system,2025-07-17 09:24:38.058,GRF003
"2025    ","4155000000",안성시,ADM002,710862678.7694093773,537.507800000,system,2025-07-17 09:24:38.058,system,2025-07-17 09:24:38.058,GRF002
"2025    ","4155000000",안성시,ADM002,20896463.7599182158,15.824700000,system,2025-07-17 09:24:38.058,system,2025-07-17 09:24:38.058,GRF003
"2025    ","4143000000",의왕시,ADM002,143306853.6229857240,53.866600000,system,2025-07-17 09:24:38.058,system,2025-07-17 09:24:38.058,GRF001
"2025    ","4145000000",하남시,ADM002,244867736.5144652694,92.697300000,system,2025-07-17 09:24:38.058,system,2025-07-17 09:24:38.058,GRF001
"2025    ","4146000000",용인시,ADM002,782693126.9790801823,591.767400000,system,2025-07-17 09:24:38.058,system,2025-07-17 09:24:38.058,GRF001
