"crtr_ymd","admdst_nm","admdst_se_cd","admdst_cd","grnd_rftp_se_cd","sum_genqy","sum_area","frst_rgtr_id","frst_reg_dt","mdfr_id","mdfcn_dt"
"2025    ",파주시,ADM002,"4148000000",GRF003,1095752.2170262335,16.539500000,system,2025-07-14 22:18:49.603,system,2025-07-14 22:18:49.603
"2025    ",이천시,ADM002,"4150000000",GRF002,1754275.4729967113,20.324500000,system,2025-07-14 22:18:49.603,system,2025-07-14 22:18:49.603
"2025    ",이천시,ADM002,"4150000000",GRF003,134152.5624589920,2.046200000,system,2025-07-14 22:18:49.603,system,2025-07-14 22:18:49.603
"2025    ",안성시,ADM002,"4155000000",GRF002,3804262.2060012823,43.566500000,system,2025-07-14 22:18:49.603,system,2025-07-14 22:18:49.603
"2025    ",안성시,ADM002,"4155000000",GRF003,685601.7038745884,10.380900000,system,2025-07-14 22:18:49.603,system,2025-07-14 22:18:49.603
"2025    ",김포시,ADM002,"4157000000",GRF002,427404.5115747456,4.839400000,system,2025-07-14 22:18:49.603,system,2025-07-14 22:18:49.603
"2025    ",김포시,ADM002,"4157000000",GRF003,925980.2933721549,13.866400000,system,2025-07-14 22:18:49.603,system,2025-07-14 22:18:49.603
"2025    ",화성시,ADM002,"4159000000",GRF002,2340733.8612041470,26.265200000,system,2025-07-14 22:18:49.603,system,2025-07-14 22:18:49.603
"2025    ",화성시,ADM002,"4159000000",GRF003,1899363.6706585874,28.281400000,system,2025-07-14 22:18:49.603,system,2025-07-14 22:18:49.603
"2025    ",광주시,ADM002,"4161000000",GRF002,22852.3163833618,0.262300000,system,2025-07-14 22:18:49.603,system,2025-07-14 22:18:49.603
"2025    ",광주시,ADM002,"4161000000",GRF003,13989.2429194450,0.212600000,system,2025-07-14 22:18:49.603,system,2025-07-14 22:18:49.603
"2025    ",양주시,ADM002,"4163000000",GRF002,880691.1376161584,10.175000000,system,2025-07-14 22:18:49.603,system,2025-07-14 22:18:49.603
"2025    ",양주시,ADM002,"4163000000",GRF003,326044.7964782717,4.974200000,system,2025-07-14 22:18:49.603,system,2025-07-14 22:18:49.603
"2025    ",포천시,ADM002,"4165000000",GRF002,3816489.2730550772,44.570400000,system,2025-07-14 22:18:49.603,system,2025-07-14 22:18:49.603
"2025    ",포천시,ADM002,"4165000000",GRF003,248919.9237642286,3.806200000,system,2025-07-14 22:18:49.603,system,2025-07-14 22:18:49.603
"2025    ",여주시,ADM002,"4167000000",GRF002,2414869.5131301882,27.848100000,system,2025-07-14 22:18:49.603,system,2025-07-14 22:18:49.603
"2025    ",여주시,ADM002,"4167000000",GRF003,272033.0025577548,4.150300000,system,2025-07-14 22:18:49.603,system,2025-07-14 22:18:49.603
"2025    ",연천군,ADM002,"4180000000",GRF002,6685187.8226146610,76.911200000,system,2025-07-14 22:18:49.603,system,2025-07-14 22:18:49.603
"2025    ",연천군,ADM002,"4180000000",GRF003,202194.6630249023,3.071100000,system,2025-07-14 22:18:49.603,system,2025-07-14 22:18:49.603
"2025    ",가평군,ADM002,"4182000000",GRF002,1848580.1752033220,21.376500000,system,2025-07-14 22:18:49.603,system,2025-07-14 22:18:49.603
"2025    ",가평군,ADM002,"4182000000",GRF003,173303.9138140678,2.630000000,system,2025-07-14 22:18:49.603,system,2025-07-14 22:18:49.603
"2025    ",양평군,ADM002,"4183000000",GRF002,2087870.4199953080,24.028200000,system,2025-07-14 22:18:49.603,system,2025-07-14 22:18:49.603
"2025    ",양평군,ADM002,"4183000000",GRF003,147280.9440765381,2.233800000,system,2025-07-14 22:18:49.603,system,2025-07-14 22:18:49.603
"2025    ",장안구,ADM003,"4111100000",GRF002,39634.2729539871,0.454600000,system,2025-07-14 22:18:49.603,system,2025-07-14 22:18:49.603
"2025    ",장안구,ADM003,"4111100000",GRF003,168826.5374765396,2.558500000,system,2025-07-14 22:18:49.603,system,2025-07-14 22:18:49.603
"2025    ",권선구,ADM003,"4111300000",GRF002,6405.4110183716,0.073000000,system,2025-07-14 22:18:50.018,system,2025-07-14 22:18:50.018
"2025    ",권선구,ADM003,"4111300000",GRF003,275972.9963960647,4.165500000,system,2025-07-14 22:18:50.018,system,2025-07-14 22:18:50.018
"2025    ",팔달구,ADM003,"4111500000",GRF002,0.0000000000,0.000000000,system,2025-07-14 22:18:50.018,system,2025-07-14 22:18:50.018
"2025    ",팔달구,ADM003,"4111500000",GRF003,157290.2965993881,2.381100000,system,2025-07-14 22:18:50.018,system,2025-07-14 22:18:50.018
"2025    ",영통구,ADM003,"4111700000",GRF002,5161.5760173798,0.059500000,system,2025-07-14 22:18:50.018,system,2025-07-14 22:18:50.018
"2025    ",영통구,ADM003,"4111700000",GRF003,224613.8994426727,3.416300000,system,2025-07-14 22:18:50.018,system,2025-07-14 22:18:50.018
"2025    ",수정구,ADM003,"4113100000",GRF002,63520.5769271850,0.724300000,system,2025-07-14 22:18:50.018,system,2025-07-14 22:18:50.018
"2025    ",수정구,ADM003,"4113100000",GRF003,148460.5608501435,2.246300000,system,2025-07-14 22:18:50.018,system,2025-07-14 22:18:50.018
"2025    ",중원구,ADM003,"4113300000",GRF002,34699.6480474473,0.397800000,system,2025-07-14 22:18:50.018,system,2025-07-14 22:18:50.018
"2025    ",중원구,ADM003,"4113300000",GRF003,144618.9094076158,2.186200000,system,2025-07-14 22:18:50.018,system,2025-07-14 22:18:50.018
"2025    ",분당구,ADM003,"4113500000",GRF002,90673.8178548815,1.033100000,system,2025-07-14 22:18:50.018,system,2025-07-14 22:18:50.018
"2025    ",분당구,ADM003,"4113500000",GRF003,260394.8795557024,3.926300000,system,2025-07-14 22:18:50.018,system,2025-07-14 22:18:50.018
"2025    ","",ADM003,"4115000000",GRF002,187160.7773790360,2.156800000,system,2025-07-14 22:18:50.018,system,2025-07-14 22:18:50.018
"2025    ","",ADM003,"4115000000",GRF003,242718.3734321594,3.690200000,system,2025-07-14 22:18:50.018,system,2025-07-14 22:18:50.018
"2025    ",만안구,ADM003,"4117100000",GRF002,53510.5791110992,0.606600000,system,2025-07-14 22:18:50.018,system,2025-07-14 22:18:50.018
"2025    ",만안구,ADM003,"4117100000",GRF003,153511.9548673630,2.300500000,system,2025-07-14 22:18:50.018,system,2025-07-14 22:18:50.018
"2025    ",동안구,ADM003,"4117300000",GRF002,3806.0655641556,0.043700000,system,2025-07-14 22:18:50.018,system,2025-07-14 22:18:50.018
"2025    ",동안구,ADM003,"4117300000",GRF003,170498.3894109725,2.570900000,system,2025-07-14 22:18:50.018,system,2025-07-14 22:18:50.018
"2025    ",원미구,ADM003,"4119200000",GRF002,3977.6334514618,0.045000000,system,2025-07-14 22:18:50.018,system,2025-07-14 22:18:50.018
"2025    ",원미구,ADM003,"4119200000",GRF003,251550.5840039254,3.758800000,system,2025-07-14 22:18:50.018,system,2025-07-14 22:18:50.018
"2025    ",소사구,ADM003,"4119400000",GRF002,8708.1125259399,0.098400000,system,2025-07-14 22:18:50.018,system,2025-07-14 22:18:50.018
"2025    ",소사구,ADM003,"4119400000",GRF003,120593.7568721771,1.802100000,system,2025-07-14 22:18:50.018,system,2025-07-14 22:18:50.018
"2025    ",오정구,ADM003,"4119600000",GRF002,2626.5214433670,0.029700000,system,2025-07-14 22:18:50.018,system,2025-07-14 22:18:50.018
"2025    ",오정구,ADM003,"4119600000",GRF003,159450.2048597335,2.389700000,system,2025-07-14 22:18:50.018,system,2025-07-14 22:18:50.018
"2025    ","",ADM003,"4121000000",GRF002,25365.5081424713,0.285900000,system,2025-07-14 22:18:50.018,system,2025-07-14 22:18:50.018
"2025    ","",ADM003,"4121000000",GRF003,187965.7437238693,2.800100000,system,2025-07-14 22:18:50.018,system,2025-07-14 22:18:50.018
"2025    ","",ADM003,"4122000000",GRF002,491533.9455842971,5.558600000,system,2025-07-14 22:18:50.018,system,2025-07-14 22:18:50.018
"2025    ","",ADM003,"4122000000",GRF003,1147391.2673087118,17.130300000,system,2025-07-14 22:18:50.018,system,2025-07-14 22:18:50.018
"2025    ","",ADM003,"4125000000",GRF002,267305.3761196137,3.119700000,system,2025-07-14 22:18:50.018,system,2025-07-14 22:18:50.018
"2025    ","",ADM003,"4125000000",GRF003,18349.3481149673,0.280900000,system,2025-07-14 22:18:50.018,system,2025-07-14 22:18:50.018
"2025    ",상록구,ADM003,"4127100000",GRF002,164017.8998594284,1.848500000,system,2025-07-14 22:18:50.018,system,2025-07-14 22:18:50.018
"2025    ",상록구,ADM003,"4127100000",GRF003,251997.0961842538,3.749500000,system,2025-07-14 22:18:50.018,system,2025-07-14 22:18:50.018
"2025    ",단원구,ADM003,"4127300000",GRF002,427721.0553579328,4.704000000,system,2025-07-14 22:18:50.018,system,2025-07-14 22:18:50.018
